timestamp,ear,status,closure_dur,perclos,pitch_deg,fps
2026-06-26 16:15:05,0.0000,no_face,0.00,0.000,0.0,0.0
2026-06-26 16:15:06,0.3421,active,0.00,0.000,-176.5,14.2
2026-06-26 16:15:07,0.3013,active,0.00,0.000,174.4,14.9
2026-06-26 16:15:08,0.0000,no_face,0.00,0.000,0.0,14.9
2026-06-26 16:15:09,0.3165,active,0.00,0.000,-164.5,14.9
2026-06-26 16:15:10,0.3249,active,0.00,0.000,-164.9,14.8
2026-06-26 16:15:11,0.3174,active,0.00,0.000,-166.6,14.9
2026-06-26 16:15:12,0.3236,active,0.00,0.000,-167.8,14.8
2026-06-26 16:15:13,0.3063,active,0.00,0.000,164.4,14.9
2026-06-26 16:15:14,0.3012,active,0.00,0.000,166.6,14.9
2026-06-26 16:15:14,0.2965,drowsy,0.00,0.000,165.8,14.9
2026-06-26 16:15:14,0.2890,drowsy,0.00,0.000,164.1,14.9
2026-06-26 16:15:14,0.2846,drowsy,0.00,0.000,165.1,14.9
2026-06-26 16:15:15,0.2824,drowsy,0.00,0.000,164.7,14.9
2026-06-26 16:15:15,0.2775,drowsy,0.00,0.000,165.6,14.9
2026-06-26 16:15:15,0.2698,drowsy,0.00,0.000,165.3,14.9
2026-06-26 16:15:15,0.2584,drowsy,0.00,0.000,165.1,14.9
2026-06-26 16:15:15,0.2496,drowsy,0.00,0.000,165.5,14.9
2026-06-26 16:15:15,0.2421,drowsy,0.00,0.000,166.1,14.9
2026-06-26 16:15:15,0.2375,drowsy,0.00,0.000,164.9,14.9
2026-06-26 16:15:15,0.2448,drowsy,0.00,0.045,167.0,14.9
2026-06-26 16:15:16,0.2483,drowsy,0.00,0.044,167.8,14.9
2026-06-26 16:15:16,0.2531,drowsy,0.00,0.044,167.4,14.9
2026-06-26 16:15:16,0.2576,drowsy,0.00,0.044,167.1,14.9
2026-06-26 16:15:16,0.2618,drowsy,0.00,0.043,167.5,14.9
2026-06-26 16:15:16,0.2649,drowsy,0.00,0.043,167.2,14.9
